handle,product_gid,status,type,title,proposed_vendor,confidence,evidence,action
van-wees-very-old-genever-15yr,gid://shopify/Product/15491374514551,ACTIVE,gin,Van Wees Very Old Genever 15yr,Van Wees Very,low,single occurrence,review
vegan-pistachio-frosting-celebration-cake,gid://shopify/Product/8046890778780,DRAFT,Cake,Vegan Pistachio Frosting Celebration Cake,,none,house/generic,leave as Drinks House 247
venchi-1878-medium-murrine-chocolate-hamper-400g,gid://shopify/Product/15486630691191,ACTIVE,Chocolate,Venchi 1878 Medium Murrine Chocolate Hamper (400g),,none,house/generic,leave as Drinks House 247
venchi-1878-teresa-rego-spring-hamper-chocolates-206g,gid://shopify/Product/15486631051639,ACTIVE,Chocolate,Venchi 1878 Teresa Rego Spring Hamper Chocolates (206g),,none,house/generic,leave as Drinks House 247
villa-cialdini-pignoletto-sparkling-brut-modena,gid://shopify/Product/7695492645020,DRAFT,wine,"Villa Cialdini, Pignoletto Sparkling Brut Modena 2021 75cl",Villa Cialdini,low,single occurrence,review
villa-lobos-10-year-old-extra-anejo-tequila-70cl,gid://shopify/Product/14972679618935,ACTIVE,tequila,Villa Lobos 10 Year Old Extra Añejo Tequila 70cl,Villa Lobos 10,low,single occurrence,review
villa-marcello-prosecco-rose-75cl,gid://shopify/Product/15489761706359,ACTIVE,wine,Villa Marcello Prosecco Rose 75cl,Villa Marcello,low,single occurrence,review
vina-sena-2010-75cl,gid://shopify/Product/7697539170460,ACTIVE,wine,Vina sena 2010 75cl,Vina,low,single occurrence,review
vinedo-chadwick-2015-75cl,gid://shopify/Product/8206271676572,ACTIVE,wine,Vinedo Chadwick 2015 (75cl),Vinedo Chadwick,low,single occurrence,review
vins-pepe-raventos-mas-del-serral,gid://shopify/Product/7707984593052,DRAFT,wine,"Vins Pepe Raventós, Mas del Serral 75cl",Vins Pepe Raventós,low,single occurrence,review
violot-guillemard-pommard-1er-cru-la-platiere-2022-75cl,gid://shopify/Product/15482970407287,ACTIVE,wine,"Violot-Guillemard Pommard 1er Cru La Platiere 2022, 75cl",Violot-Guillemard Pommard 1er,low,single occurrence,review
virginie-de-valandraud-half-2018,gid://shopify/Product/7987684999324,ACTIVE,wine,Virginie de Valandraud Half 2018,Virginie de Valandraud,low,single occurrence,review
water-1-5l,gid://shopify/Product/1967389638718,ACTIVE,Soft Drink,Water 1L,,none,house/generic,leave as Drinks House 247
willy-gisselbrecht-reserve-speciale-gewurztraminer,gid://shopify/Product/7808616988828,ACTIVE,wine,Willy Gisselbrecht Réserve Spéciale Gewürztraminer,Willy Gisselbrecht,low,single occurrence,review
wiston-estate-blanc-de-blancs-nv-75cl,gid://shopify/Product/15384406786423,ACTIVE,wine,Wiston Estate Blanc de Blancs NV 75cl,Wiston Estate,low,single occurrence,review
zaccagnini,gid://shopify/Product/2016163758142,ACTIVE,wine,Zaccagnini,Zaccagnini,low,single occurrence,review
