product_id,handle,title,blocks_removed
7289827098780,,Taste of France Pre-Mixed Case,1
7289827426460,,Rich Red Pre-Mixed Case,1
7289827623068,,Grand Reserva Pre-Mixed Case,1
7289828343964,,Finest of Valley Pre-Mixed Case,1
7322816774300,,Moët & Chandon Grand Vintage Brut Champagne 75cl,1
7322903085212,,Veuve Clicquot Vintage Champagne 2015 75cl,1
7322913767580,,Veuve Clicquot Extra Brut Extra Old 75cl,1
7322921238684,,Pol Roger Vintage Brut 75cl,1
7322927595676,,Louis Roederer Collection 243 Champagne 75cl,1
7325033857180,,Macallan 12 Year Old Double Cask 70cl,1
7325034217628,,Macallan 15 Years Old Double Cask 70cl,1
7344952574108,,Veuve Clicquot Ponsardin Rich Champagne 75cl,1
7360893583516,,Taittinger Prestige Rose Champagne 75cl,1
7360900497564,,Pol Roger 'Réserve' Brut Champagne 75cl,1
7360904331420,,Moet & Chandon Nectar Imperial Champagne 75cl,1
7369343991964,,Clase Azul Reposado Tequila 70cl,1
7456868040860,,Casamigos Anejo Tequila 70cl,1
7456889700508,,Casamigos Joven Mezcal 70cl,1
7458453684380,,Rioja Gran Reserva Decanter Gift Set,1
7460490576028,,Don Julio Blanco Tequila 70cl,1
7460742922396,,Casamigos Blanco Tequila 70cl,1
7461074174108,,1800 Anejo Aged Tequila 70cl,1
7461698764956,,1800 Coconut Tequila 70cl,1
7461773082780,,1800 Blanco Silver Tequila 70cl,1
7461856936092,,1800 Reposado Gold Tequila 70cl,1
7461891801244,,Piper Heidsieck Brut Champagne Gift Set,1
7461930401948,,Veuve Clicquot Rose Champagne 75cl,1
7466268393628,,Au Green Watermelon Vodka,1
7466278682780,,Au Blue Raspberry Vodka,1
7467644944540,,No.3 London Dry Gin 70cl,1
7468315902108,,Monkey 47 Gin,1
7468331532444,,Gordon's Gin 35cl,1
7469665616028,,Patron Gran Platinum Blanco Tequila 70cl,1
7469671940252,,Sierra Reposado Gold Tequila,1
7469676953756,,Sierra Silver Blanco Tequila,1
7469680459932,,Ilegal Joven Mezcal 70cl,1
7469682426012,,Bumbu XO Rum 70cl,1
7473450778780,,Glenfiddich 12 Year Old Single Malt Whisky 70cl,1
7473464148124,,Bell’s Whisky 35cl,1
7473497276572,,Aberfeldy 12 Year Old Single Malt Scotch 70cl,1
7473506615452,,Chivas Regal 18 Year Old Blended Scotch Whisky,1
7473514152092,,Johnnie Walker Sweet Peat 70cl,1
7473625333916,,Macallan 12 Year Sherry Oak Whisky 70cl,1
7473645879452,,Dalmore Cigar Malt Whisky,1
7473653612700,,Dalmore 15 Year 70cl,1
7473655644316,,Dalmore 12 Year Whisky 70cl,1
7474195955868,,Fifty Pounds Gin 70cl,1
7474319196316,,City of London Murcian Orange Gin,1
7475169460380,,City of London Six Bells Lemon Gin,1
7477585739932,,Citadelle Gin 70cl,1
7477869346972,,Bombay Sapphire Bramble Gin 70cl,1
7478021619868,,Johnnie Walker Gold Label Reserve Whisky,1
7478069592220,,Royal Salute 21 Year Whisky,1
7479729160348,,Clase Azul Plata Tequila 70cl,1
7479731716252,,Clase Azul Gold Edition Tequila,1
7479735877788,,Fortaleza Reposado Tequila,1
7479739154588,,Fortaleza Blanco Tequila,1
7479961518236,,Bacardi Gran Reserva Diez 10 Year Rum 70cl,1
7479962828956,,Bacardi Carta Oro Gold Rum 70cl,1
7479964270748,,Bacardi Carta Negra Black Rum 70cl,1
7480442781852,,Belvedere Single Estate Rye Vodka Smogory Forest 70cl,1
7480451268764,,Belvedere Organic Infusions Lemon & Basil Vodka,1
7480453234844,,Belvedere Organic Infusions Pear & Ginger Vodka,1
7480456609948,,Belvedere Organic Infusions Blackberry & Lemongrass,1
7480594825372,,Villa Maria Private Bin Pinot Noir 75cl,1
7480607506588,,Calvet Prestige de Calvet Bordeaux,1
7480612323484,,Chateau d’Esclans Whispering Angel Rose 75cl,1
7480617304220,,Kylie Minogue,1
7482383794332,,"Baron de Badassière, Carignan IGP Côtes de Thau, 75cl",1
7482387366044,,Terras Gauda O Rosal 75cl,1
7482392510620,,Château les Eyquem Margaux 2021,1
7482394869916,,Signature Series Robert Oatley Chardonnay 75cl,1
7483063533724,,1848 Reserve Cabernet Sauvignon 75cl,1
7483121696924,,Bordeaux Rouge 2018 75cl,1
7483196342428,,Château Haut-Blanville Merlot 75cl,1
7483208368284,,"Château Larose Trintaudon, Haut-Médoc 75cl",1
7483237367964,,"Château Mahon-Laville, Bordeaux Supérieur 75cl",1
7483241693340,,Delagrave Bordeaux Dry Red 75cl,1
7483244052636,,Gran Sasso Montepulciano d’Abruzzo 75cl,1
7483246280860,,Flechas de Los Andes Gran Malbec 2019 75cl,1
7483249033372,,The Chocolate Block 2023 75cl,1
7483254112412,,Chardonnay Royale French 75cl,1
7483257880732,,Gran Sasso `Alta Quota` Pecorino 75cl,1
7483260174492,,Seguin Pouilly Fumé Cuvée Prestige 2019,1
7483261911196,,Southern Right Sauvignon Blanc 2020,1
7483573207196,,Patron Reposado Rested Tequila,1
7483575042204,,Patron Anejo Aged Tequila,1
7483711619228,,Gran Patrón Piedra Tequila 70cl,1
7483730821276,,Glenfiddich 15 Year Solera Whisky 70cl,1
7483774795932,,Glenfiddich 18 Year Whisky 70cl,1
7483812020380,,Tenjaku Japanese Whisky 70cl,1
7483832467612,,Martell X.O Cognac 70cl,1
7483874803868,,The Lakes Salted Caramel Vodka Liqueur 70cl,1
7483876507804,,The Lakes Gin 70cl,1
7483901116572,,Madri Excepcional Lager 24x 440ml Cans,1
7483911012508,,Perrier Jouet Belle Epoque 2014 Vintage Brut Champagne 75cl,1
7483912323228,,Ruinart Blanc de Blancs Champagne 75cl,1
7483913175196,,Ruinart Rose Champagne 75cl,1
7483914354844,,R de Ruinart Brut Champagne 75cl,1
7595421827228,,Veuve Clicquot La Grande Dame 2012 Vintage 75cl,1
7595421859996,,Mercier Brut,1
7595422023836,,Mercier Brut Rose 75cl,1
7595422089372,,Taittinger Brut Reserve NV 75cl,1
7595422449820,,Fleur de Miraval Rosé Champagne N.V 75cl,1
7595422482588,,Bollinger Rose Brut NV Champagne 75cl,1
7597059801244,,Mercier Blanc De Noirs 75cl,1
7602063278236,,Laurent-Perrier Demi-Sec Harmony Champagne 75cl,1
7602473566364,,Laurent-Perrier La Cuvée Champagne 75cl,1
